T,P,session,reading_index
30.15,910.1,2025-11-12_20-01-19,0
30.18,910.0,2025-11-12_20-01-19,1
30.2,910.05,2025-11-12_20-01-19,2
30.24,910.05,2025-11-12_20-01-19,3
30.27,910.06,2025-11-12_20-01-19,4
30.3,910.09,2025-11-12_20-01-19,5
30.34,910.02,2025-11-12_20-01-19,6
30.38,910.03,2025-11-12_20-01-19,7
30.42,910.01,2025-11-12_20-01-19,8
30.45,910.06,2025-11-12_20-01-19,9
30.5,910.01,2025-11-12_20-01-19,10
30.54,910.0,2025-11-12_20-01-19,11
30.59,910.04,2025-11-12_20-01-19,12
30.63,909.97,2025-11-12_20-01-19,13
30.68,910.0,2025-11-12_20-01-19,14
30.72,909.99,2025-11-12_20-01-19,15
30.77,910.07,2025-11-12_20-01-19,16
30.81,910.02,2025-11-12_20-01-19,17
30.86,910.01,2025-11-12_20-01-19,18
30.9,909.99,2025-11-12_20-01-19,19
30.95,909.99,2025-11-12_20-01-19,20
31.0,910.03,2025-11-12_20-01-19,21
31.04,910.03,2025-11-12_20-01-19,22
31.08,910.01,2025-11-12_20-01-19,23
31.12,910.0,2025-11-12_20-01-19,24
31.16,910.02,2025-11-12_20-01-19,25
31.2,909.96,2025-11-12_20-01-19,26
31.24,909.97,2025-11-12_20-01-19,27
31.28,910.05,2025-11-12_20-01-19,28
31.32,910.05,2025-11-12_20-01-19,29
31.36,910.06,2025-11-12_20-01-19,30
31.4,910.03,2025-11-12_20-01-19,31
31.43,910.03,2025-11-12_20-01-19,32
31.47,910.06,2025-11-12_20-01-19,33
31.5,909.97,2025-11-12_20-01-19,34
31.54,909.99,2025-11-12_20-01-19,35
31.57,910.02,2025-11-12_20-01-19,36
31.6,910.02,2025-11-12_20-01-19,37
31.64,910.02,2025-11-12_20-01-19,38
31.67,909.97,2025-11-12_20-01-19,39
31.7,909.97,2025-11-12_20-01-19,40
31.73,910.0,2025-11-12_20-01-19,41
31.76,910.01,2025-11-12_20-01-19,42
31.79,910.0,2025-11-12_20-01-19,43
31.82,910.02,2025-11-12_20-01-19,44
31.85,910.02,2025-11-12_20-01-19,45
31.88,910.0,2025-11-12_20-01-19,46
31.91,910.01,2025-11-12_20-01-19,47
31.94,910.02,2025-11-12_20-01-19,48
31.97,910.0,2025-11-12_20-01-19,49
32.0,909.98,2025-11-12_20-01-19,50
32.02,909.98,2025-11-12_20-01-19,51
32.04,910.01,2025-11-12_20-01-19,52
32.06,910.08,2025-11-12_20-01-19,53
32.07,909.99,2025-11-12_20-01-19,54
32.08,910.0,2025-11-12_20-01-19,55
32.09,910.03,2025-11-12_20-01-19,56
32.1,909.97,2025-11-12_20-01-19,57
30.15,910.1,2025-11-12_20-02-21,0
30.18,910.0,2025-11-12_20-02-21,1
30.2,910.05,2025-11-12_20-02-21,2
30.24,910.05,2025-11-12_20-02-21,3
30.27,910.06,2025-11-12_20-02-21,4
30.3,910.09,2025-11-12_20-02-21,5
30.34,910.02,2025-11-12_20-02-21,6
30.38,910.03,2025-11-12_20-02-21,7
30.42,910.01,2025-11-12_20-02-21,8
30.45,910.06,2025-11-12_20-02-21,9
30.5,910.01,2025-11-12_20-02-21,10
30.54,910.0,2025-11-12_20-02-21,11
30.59,910.04,2025-11-12_20-02-21,12
30.63,909.97,2025-11-12_20-02-21,13
30.68,910.0,2025-11-12_20-02-21,14
30.72,909.99,2025-11-12_20-02-21,15
30.77,910.07,2025-11-12_20-02-21,16
30.81,910.02,2025-11-12_20-02-21,17
30.86,910.01,2025-11-12_20-02-21,18
30.9,909.99,2025-11-12_20-02-21,19
30.95,909.99,2025-11-12_20-02-21,20
31.0,910.03,2025-11-12_20-02-21,21
31.04,910.03,2025-11-12_20-02-21,22
31.08,910.01,2025-11-12_20-02-21,23
31.12,910.0,2025-11-12_20-02-21,24
31.16,910.02,2025-11-12_20-02-21,25
31.2,909.96,2025-11-12_20-02-21,26
31.24,909.97,2025-11-12_20-02-21,27
31.28,910.05,2025-11-12_20-02-21,28
31.32,910.05,2025-11-12_20-02-21,29
31.36,910.06,2025-11-12_20-02-21,30
31.4,910.03,2025-11-12_20-02-21,31
31.43,910.03,2025-11-12_20-02-21,32
31.47,910.06,2025-11-12_20-02-21,33
31.5,909.97,2025-11-12_20-02-21,34
31.54,909.99,2025-11-12_20-02-21,35
31.57,910.02,2025-11-12_20-02-21,36
31.6,910.02,2025-11-12_20-02-21,37
31.64,910.02,2025-11-12_20-02-21,38
31.67,909.97,2025-11-12_20-02-21,39
31.7,909.97,2025-11-12_20-02-21,40
31.73,910.0,2025-11-12_20-02-21,41
31.76,910.01,2025-11-12_20-02-21,42
31.79,910.0,2025-11-12_20-02-21,43
31.82,910.02,2025-11-12_20-02-21,44
31.85,910.02,2025-11-12_20-02-21,45
31.88,910.0,2025-11-12_20-02-21,46
31.91,910.01,2025-11-12_20-02-21,47
31.94,910.02,2025-11-12_20-02-21,48
31.97,910.0,2025-11-12_20-02-21,49
32.0,909.98,2025-11-12_20-02-21,50
32.02,909.98,2025-11-12_20-02-21,51
32.04,910.01,2025-11-12_20-02-21,52
32.06,910.08,2025-11-12_20-02-21,53
32.07,909.99,2025-11-12_20-02-21,54
32.08,910.0,2025-11-12_20-02-21,55
32.09,910.03,2025-11-12_20-02-21,56
32.1,909.97,2025-11-12_20-02-21,57
30.15,910.1,2025-11-12_20-03-22,0
30.18,910.0,2025-11-12_20-03-22,1
30.2,910.05,2025-11-12_20-03-22,2
30.24,910.05,2025-11-12_20-03-22,3
30.27,910.06,2025-11-12_20-03-22,4
30.3,910.09,2025-11-12_20-03-22,5
30.34,910.02,2025-11-12_20-03-22,6
30.38,910.03,2025-11-12_20-03-22,7
30.42,910.01,2025-11-12_20-03-22,8
30.45,910.06,2025-11-12_20-03-22,9
30.5,910.01,2025-11-12_20-03-22,10
30.54,910.0,2025-11-12_20-03-22,11
30.59,910.04,2025-11-12_20-03-22,12
30.63,909.97,2025-11-12_20-03-22,13
30.68,910.0,2025-11-12_20-03-22,14
30.72,909.99,2025-11-12_20-03-22,15
30.77,910.07,2025-11-12_20-03-22,16
30.81,910.02,2025-11-12_20-03-22,17
30.86,910.01,2025-11-12_20-03-22,18
30.9,909.99,2025-11-12_20-03-22,19
30.95,909.99,2025-11-12_20-03-22,20
31.0,910.03,2025-11-12_20-03-22,21
31.04,910.03,2025-11-12_20-03-22,22
31.08,910.01,2025-11-12_20-03-22,23
31.12,910.0,2025-11-12_20-03-22,24
31.16,910.02,2025-11-12_20-03-22,25
31.2,909.96,2025-11-12_20-03-22,26
31.24,909.97,2025-11-12_20-03-22,27
31.28,910.05,2025-11-12_20-03-22,28
31.32,910.05,2025-11-12_20-03-22,29
31.36,910.06,2025-11-12_20-03-22,30
31.4,910.03,2025-11-12_20-03-22,31
31.43,910.03,2025-11-12_20-03-22,32
31.47,910.06,2025-11-12_20-03-22,33
31.5,909.97,2025-11-12_20-03-22,34
31.54,909.99,2025-11-12_20-03-22,35
31.57,910.02,2025-11-12_20-03-22,36
31.6,910.02,2025-11-12_20-03-22,37
31.64,910.02,2025-11-12_20-03-22,38
31.67,909.97,2025-11-12_20-03-22,39
31.7,909.97,2025-11-12_20-03-22,40
31.73,910.0,2025-11-12_20-03-22,41
31.76,910.01,2025-11-12_20-03-22,42
31.79,910.0,2025-11-12_20-03-22,43
31.82,910.02,2025-11-12_20-03-22,44
31.85,910.02,2025-11-12_20-03-22,45
31.88,910.0,2025-11-12_20-03-22,46
31.91,910.01,2025-11-12_20-03-22,47
31.94,910.02,2025-11-12_20-03-22,48
31.97,910.0,2025-11-12_20-03-22,49
