T,P,session,reading_index
30.6,912.4,2025-10-24_13-21-00,0
30.57,912.34,2025-10-24_13-21-00,1
30.56,912.28,2025-10-24_13-21-00,2
30.55,912.25,2025-10-24_13-21-00,3
30.57,912.33,2025-10-24_13-21-00,4
30.57,912.31,2025-10-24_13-21-00,5
30.57,912.34,2025-10-24_13-21-00,6
30.55,912.36,2025-10-24_13-21-00,7
30.55,912.27,2025-10-24_13-21-00,8
30.56,912.37,2025-10-24_13-21-00,9
30.55,912.35,2025-10-24_13-21-00,10
30.54,912.27,2025-10-24_13-21-00,11
30.55,912.29,2025-10-24_13-21-00,12
30.55,912.35,2025-10-24_13-21-00,13
30.55,912.33,2025-10-24_13-21-00,14
30.56,912.37,2025-10-24_13-21-00,15
30.54,912.32,2025-10-24_13-21-00,16
30.55,912.36,2025-10-24_13-21-00,17
30.55,912.33,2025-10-24_13-21-00,18
30.55,912.32,2025-10-24_13-21-00,19
30.55,912.28,2025-10-24_13-21-00,20
30.55,912.3,2025-10-24_13-21-00,21
30.56,912.37,2025-10-24_13-21-00,22
30.55,912.36,2025-10-24_13-21-00,23
30.56,912.3,2025-10-24_13-21-00,24
30.57,912.34,2025-10-24_13-21-00,25
30.58,912.35,2025-10-24_13-21-00,26
30.58,912.33,2025-10-24_13-21-00,27
30.58,912.33,2025-10-24_13-21-00,28
30.58,912.3,2025-10-24_13-21-00,29
30.58,912.29,2025-10-24_13-21-00,30
30.6,912.31,2025-10-24_13-21-00,31
30.59,912.31,2025-10-24_13-21-00,32
30.61,912.32,2025-10-24_13-21-00,33
30.61,912.34,2025-10-24_13-21-00,34
30.62,912.36,2025-10-24_13-21-00,35
30.62,912.39,2025-10-24_13-21-00,36
30.63,912.35,2025-10-24_13-21-00,37
30.62,912.35,2025-10-24_13-21-00,38
30.63,912.38,2025-10-24_13-21-00,39
30.62,912.31,2025-10-24_13-21-00,40
30.62,912.32,2025-10-24_13-21-00,41
30.64,912.38,2025-10-24_13-21-00,42
30.64,912.35,2025-10-24_13-21-00,43
30.64,912.34,2025-10-24_13-21-00,44
30.65,912.37,2025-10-24_13-21-00,45
30.65,912.31,2025-10-24_13-21-00,46
30.66,912.34,2025-10-24_13-21-00,47
30.66,912.31,2025-10-24_13-21-00,48
30.67,912.38,2025-10-24_13-21-00,49
30.68,912.36,2025-10-24_13-21-00,50
30.68,912.38,2025-10-24_13-21-00,51
30.68,912.35,2025-10-24_13-21-00,52
30.67,912.33,2025-10-24_13-21-00,53
30.68,912.35,2025-10-24_13-21-00,54
30.69,912.38,2025-10-24_13-21-00,55
30.69,912.32,2025-10-24_13-21-00,56
30.69,912.31,2025-10-24_13-21-00,57
30.6,912.4,2025-10-24_13-24-00,0
30.57,912.34,2025-10-24_13-24-00,1
30.56,912.28,2025-10-24_13-24-00,2
30.55,912.25,2025-10-24_13-24-00,3
30.57,912.33,2025-10-24_13-24-00,4
30.57,912.31,2025-10-24_13-24-00,5
30.57,912.34,2025-10-24_13-24-00,6
30.55,912.36,2025-10-24_13-24-00,7
30.55,912.27,2025-10-24_13-24-00,8
30.56,912.37,2025-10-24_13-24-00,9
30.55,912.35,2025-10-24_13-24-00,10
30.54,912.27,2025-10-24_13-24-00,11
30.55,912.29,2025-10-24_13-24-00,12
30.55,912.35,2025-10-24_13-24-00,13
30.55,912.33,2025-10-24_13-24-00,14
30.56,912.37,2025-10-24_13-24-00,15
30.54,912.32,2025-10-24_13-24-00,16
30.55,912.36,2025-10-24_13-24-00,17
30.55,912.33,2025-10-24_13-24-00,18
30.55,912.32,2025-10-24_13-24-00,19
30.55,912.28,2025-10-24_13-24-00,20
30.55,912.3,2025-10-24_13-24-00,21
30.56,912.37,2025-10-24_13-24-00,22
30.55,912.36,2025-10-24_13-24-00,23
30.56,912.3,2025-10-24_13-24-00,24
30.57,912.34,2025-10-24_13-24-00,25
30.58,912.35,2025-10-24_13-24-00,26
30.58,912.33,2025-10-24_13-24-00,27
30.58,912.33,2025-10-24_13-24-00,28
30.58,912.3,2025-10-24_13-24-00,29
30.58,912.29,2025-10-24_13-24-00,30
30.6,912.31,2025-10-24_13-24-00,31
30.59,912.31,2025-10-24_13-24-00,32
30.61,912.32,2025-10-24_13-24-00,33
30.61,912.34,2025-10-24_13-24-00,34
30.62,912.36,2025-10-24_13-24-00,35
30.62,912.39,2025-10-24_13-24-00,36
30.63,912.35,2025-10-24_13-24-00,37
30.62,912.35,2025-10-24_13-24-00,38
30.63,912.38,2025-10-24_13-24-00,39
30.62,912.31,2025-10-24_13-24-00,40
30.62,912.32,2025-10-24_13-24-00,41
30.64,912.38,2025-10-24_13-24-00,42
30.64,912.35,2025-10-24_13-24-00,43
30.64,912.34,2025-10-24_13-24-00,44
30.65,912.37,2025-10-24_13-24-00,45
30.65,912.31,2025-10-24_13-24-00,46
30.66,912.34,2025-10-24_13-24-00,47
30.66,912.31,2025-10-24_13-24-00,48
30.67,912.38,2025-10-24_13-24-00,49
30.68,912.36,2025-10-24_13-24-00,50
30.68,912.38,2025-10-24_13-24-00,51
30.68,912.35,2025-10-24_13-24-00,52
30.67,912.33,2025-10-24_13-24-00,53
30.68,912.35,2025-10-24_13-24-00,54
30.69,912.38,2025-10-24_13-24-00,55
30.69,912.32,2025-10-24_13-24-00,56
30.69,912.31,2025-10-24_13-24-00,57
30.6,912.4,2025-11-01_00-47-30,0
30.57,912.34,2025-11-01_00-47-30,1
30.56,912.28,2025-11-01_00-47-30,2
30.55,912.25,2025-11-01_00-47-30,3
30.57,912.33,2025-11-01_00-47-30,4
30.57,912.31,2025-11-01_00-47-30,5
30.57,912.34,2025-11-01_00-47-30,6
30.55,912.36,2025-11-01_00-47-30,7
30.55,912.27,2025-11-01_00-47-30,8
30.56,912.37,2025-11-01_00-47-30,9
30.55,912.35,2025-11-01_00-47-30,10
30.54,912.27,2025-11-01_00-47-30,11
30.55,912.29,2025-11-01_00-47-30,12
30.55,912.35,2025-11-01_00-47-30,13
30.55,912.33,2025-11-01_00-47-30,14
30.56,912.37,2025-11-01_00-47-30,15
30.54,912.32,2025-11-01_00-47-30,16
30.55,912.36,2025-11-01_00-47-30,17
30.55,912.33,2025-11-01_00-47-30,18
30.55,912.32,2025-11-01_00-47-30,19
30.55,912.28,2025-11-01_00-47-30,20
30.55,912.3,2025-11-01_00-47-30,21
30.56,912.37,2025-11-01_00-47-30,22
30.55,912.36,2025-11-01_00-47-30,23
30.56,912.3,2025-11-01_00-47-30,24
30.57,912.34,2025-11-01_00-47-30,25
30.58,912.35,2025-11-01_00-47-30,26
30.58,912.33,2025-11-01_00-47-30,27
30.58,912.33,2025-11-01_00-47-30,28
30.58,912.3,2025-11-01_00-47-30,29
30.58,912.29,2025-11-01_00-47-30,30
30.6,912.31,2025-11-01_00-47-30,31
30.59,912.31,2025-11-01_00-47-30,32
30.61,912.32,2025-11-01_00-47-30,33
30.61,912.34,2025-11-01_00-47-30,34
30.62,912.36,2025-11-01_00-47-30,35
30.62,912.39,2025-11-01_00-47-30,36
30.63,912.35,2025-11-01_00-47-30,37
30.62,912.35,2025-11-01_00-47-30,38
30.63,912.38,2025-11-01_00-47-30,39
30.62,912.31,2025-11-01_00-47-30,40
30.62,912.32,2025-11-01_00-47-30,41
30.64,912.38,2025-11-01_00-47-30,42
30.64,912.35,2025-11-01_00-47-30,43
30.64,912.34,2025-11-01_00-47-30,44
30.65,912.37,2025-11-01_00-47-30,45
30.65,912.31,2025-11-01_00-47-30,46
30.66,912.34,2025-11-01_00-47-30,47
30.66,912.31,2025-11-01_00-47-30,48
30.67,912.38,2025-11-01_00-47-30,49
30.68,912.36,2025-11-01_00-47-30,50
30.68,912.38,2025-11-01_00-47-30,51
30.68,912.35,2025-11-01_00-47-30,52
30.67,912.33,2025-11-01_00-47-30,53
30.68,912.35,2025-11-01_00-47-30,54
30.69,912.38,2025-11-01_00-47-30,55
30.69,912.32,2025-11-01_00-47-30,56
30.69,912.31,2025-11-01_00-47-30,57
29.73,912.26,2025-11-01_01-00-54,0
29.7,912.19,2025-11-01_01-00-54,1
29.68,912.18,2025-11-01_01-00-54,2
29.68,912.23,2025-11-01_01-00-54,3
29.67,912.15,2025-11-01_01-00-54,4
29.67,912.18,2025-11-01_01-00-54,5
29.68,912.15,2025-11-01_01-00-54,6
29.67,912.22,2025-11-01_01-00-54,7
29.66,912.24,2025-11-01_01-00-54,8
29.66,912.15,2025-11-01_01-00-54,9
29.66,912.26,2025-11-01_01-00-54,10
29.63,912.17,2025-11-01_01-00-54,11
29.64,912.23,2025-11-01_01-00-54,12
29.64,912.21,2025-11-01_01-00-54,13
29.64,912.22,2025-11-01_01-00-54,14
29.63,912.22,2025-11-01_01-00-54,15
29.64,912.27,2025-11-01_01-00-54,16
29.63,912.19,2025-11-01_01-00-54,17
29.62,912.14,2025-11-01_01-00-54,18
29.61,912.11,2025-11-01_01-00-54,19
29.63,912.22,2025-11-01_01-00-54,20
29.64,912.18,2025-11-01_01-00-54,21
29.67,912.25,2025-11-01_01-00-54,22
29.67,912.2,2025-11-01_01-00-54,23
