T,P,session,reading_index
29.44,909.39,2025-11-12_19-43-52,0
29.41,909.27,2025-11-12_19-43-52,1
29.42,909.25,2025-11-12_19-43-52,2
29.41,909.28,2025-11-12_19-43-52,3
29.41,909.24,2025-11-12_19-43-52,4
29.42,909.29,2025-11-12_19-43-52,5
29.41,909.32,2025-11-12_19-43-52,6
29.43,909.29,2025-11-12_19-43-52,7
29.43,909.29,2025-11-12_19-43-52,8
29.43,909.28,2025-11-12_19-43-52,9
29.42,909.14,2025-11-12_19-43-52,10
29.44,909.14,2025-11-12_19-43-52,11
29.43,909.16,2025-11-12_19-43-52,12
29.44,909.06,2025-11-12_19-43-52,13
29.45,909.18,2025-11-12_19-43-52,14
29.45,909.05,2025-11-12_19-43-52,15
29.45,908.96,2025-11-12_19-43-52,16
29.46,908.99,2025-11-12_19-43-52,17
29.47,908.95,2025-11-12_19-43-52,18
29.47,908.89,2025-11-12_19-43-52,19
29.48,908.94,2025-11-12_19-43-52,20
29.47,908.88,2025-11-12_19-43-52,21
29.48,908.82,2025-11-12_19-43-52,22
29.47,908.75,2025-11-12_19-43-52,23
29.48,908.78,2025-11-12_19-43-52,24
29.49,908.8,2025-11-12_19-43-52,25
29.5,908.73,2025-11-12_19-43-52,26
29.49,908.68,2025-11-12_19-43-52,27
29.5,908.69,2025-11-12_19-43-52,28
29.5,908.65,2025-11-12_19-43-52,29
29.5,908.57,2025-11-12_19-43-52,30
29.51,908.61,2025-11-12_19-43-52,31
29.52,908.65,2025-11-12_19-43-52,32
29.51,908.8,2025-11-12_19-43-52,33
29.51,908.72,2025-11-12_19-43-52,34
29.52,908.64,2025-11-12_19-43-52,35
29.51,908.57,2025-11-12_19-43-52,36
29.5,908.56,2025-11-12_19-43-52,37
29.51,908.66,2025-11-12_19-43-52,38
29.51,908.58,2025-11-12_19-43-52,39
29.52,908.62,2025-11-12_19-43-52,40
29.53,908.7,2025-11-12_19-43-52,41
29.51,908.66,2025-11-12_19-43-52,42
29.5,908.62,2025-11-12_19-43-52,43
29.51,908.65,2025-11-12_19-43-52,44
29.51,908.66,2025-11-12_19-43-52,45
29.52,908.69,2025-11-12_19-43-52,46
29.52,908.67,2025-11-12_19-43-52,47
29.52,908.66,2025-11-12_19-43-52,48
29.54,908.72,2025-11-12_19-43-52,49
29.53,908.67,2025-11-12_19-43-52,50
29.55,908.75,2025-11-12_19-43-52,51
29.54,908.7,2025-11-12_19-43-52,52
29.55,908.68,2025-11-12_19-43-52,53
29.55,908.66,2025-11-12_19-43-52,54
29.57,908.69,2025-11-12_19-43-52,55
30.6,912.4,2025-11-12_19-43-52,56
30.6,912.4,2025-11-12_19-43-52,57
29.44,909.39,2025-11-12_19-44-55,0
29.41,909.27,2025-11-12_19-44-55,1
29.42,909.25,2025-11-12_19-44-55,2
29.41,909.28,2025-11-12_19-44-55,3
29.41,909.24,2025-11-12_19-44-55,4
29.42,909.29,2025-11-12_19-44-55,5
29.41,909.32,2025-11-12_19-44-55,6
29.43,909.29,2025-11-12_19-44-55,7
29.43,909.29,2025-11-12_19-44-55,8
29.43,909.28,2025-11-12_19-44-55,9
29.42,909.14,2025-11-12_19-44-55,10
29.44,909.14,2025-11-12_19-44-55,11
29.43,909.16,2025-11-12_19-44-55,12
29.44,909.06,2025-11-12_19-44-55,13
29.45,909.18,2025-11-12_19-44-55,14
29.45,909.05,2025-11-12_19-44-55,15
29.45,908.96,2025-11-12_19-44-55,16
29.46,908.99,2025-11-12_19-44-55,17
29.47,908.95,2025-11-12_19-44-55,18
29.47,908.89,2025-11-12_19-44-55,19
29.48,908.94,2025-11-12_19-44-55,20
29.47,908.88,2025-11-12_19-44-55,21
29.48,908.82,2025-11-12_19-44-55,22
29.47,908.75,2025-11-12_19-44-55,23
29.48,908.78,2025-11-12_19-44-55,24
29.49,908.8,2025-11-12_19-44-55,25
29.5,908.73,2025-11-12_19-44-55,26
29.49,908.68,2025-11-12_19-44-55,27
29.5,908.69,2025-11-12_19-44-55,28
29.5,908.65,2025-11-12_19-44-55,29
