ax,ay,az,gx,gy,gz,session,reading_index
498,-1949,26,-671,861,134,2025-11-12_20-01-19,0
802,-1759,-8,1881,-32,396,2025-11-12_20-01-19,1
896,-2275,-150,-2038,1734,-321,2025-11-12_20-01-19,2
433,-1940,-40,-362,279,93,2025-11-12_20-01-19,3
824,-1545,415,1280,222,163,2025-11-12_20-01-19,4
1026,-2032,-99,-1601,833,-480,2025-11-12_20-01-19,5
619,-1904,5,-604,253,83,2025-11-12_20-01-19,6
841,-1813,-43,3129,-74,138,2025-11-12_20-01-19,7
170,-2269,-274,-1228,1292,-294,2025-11-12_20-01-19,8
1732,-1826,-625,-631,-1190,500,2025-11-12_20-01-19,9
1010,-1260,-780,-167,2497,1365,2025-11-12_20-01-19,10
413,-1990,-55,-529,489,50,2025-11-12_20-01-19,11
913,-1695,141,2352,246,174,2025-11-12_20-01-19,12
795,-1924,-474,-1135,740,-168,2025-11-12_20-01-19,13
975,-1860,-280,-830,-554,339,2025-11-12_20-01-19,14
629,-1654,-971,1536,403,468,2025-11-12_20-01-19,15
656,-1823,84,-675,-17,163,2025-11-12_20-01-19,16
605,-1594,20,-421,-1034,358,2025-11-12_20-01-19,17
881,-1633,-717,92,1010,21,2025-11-12_20-01-19,18
477,-1954,79,-578,188,83,2025-11-12_20-01-19,19
488,-1545,257,-667,-800,336,2025-11-12_20-01-19,20
1105,-1938,-912,-42,1267,200,2025-11-12_20-01-19,21
354,-1961,147,-464,770,99,2025-11-12_20-01-19,22
829,-1358,566,189,496,-37,2025-11-12_20-01-19,23
1135,-1970,-171,-2268,1452,-201,2025-11-12_20-01-19,24
976,-2083,-164,-559,-599,342,2025-11-12_20-01-19,25
344,-1936,-1078,2948,-913,-102,2025-11-12_20-01-19,26
709,-1903,-425,-141,-476,80,2025-11-12_20-01-19,27
603,-1682,242,1410,283,611,2025-11-12_20-01-19,28
1512,-2235,-263,-2319,1967,-358,2025-11-12_20-01-19,29
1309,-1521,234,-226,-1254,352,2025-11-12_20-01-19,30
693,-1531,-1307,1148,287,106,2025-11-12_20-01-19,31
465,-1910,-13,-298,117,196,2025-11-12_20-01-19,32
498,-1546,425,-481,-735,203,2025-11-12_20-01-19,33
936,-2104,-818,-1821,2746,20,2025-11-12_20-01-19,34
667,-1869,-119,-495,463,137,2025-11-12_20-01-19,35
797,-1821,-68,2703,211,204,2025-11-12_20-01-19,36
894,-2319,24,-1593,749,-229,2025-11-12_20-01-19,37
183,-2020,-76,-796,195,130,2025-11-12_20-01-19,38
891,-1663,-849,3128,-187,381,2025-11-12_20-01-19,39
444,-2048,-172,-889,358,5,2025-11-12_20-01-19,40
502,-1995,-1098,-1202,-928,464,2025-11-12_20-01-19,41
696,-1741,-853,2662,-264,425,2025-11-12_20-01-19,42
482,-1908,-86,-927,452,-11,2025-11-12_20-01-19,43
1017,-2510,1161,-89,-898,-174,2025-11-12_20-01-19,44
761,-1924,-1562,-3257,6404,1286,2025-11-12_20-01-19,45
686,-1895,-179,-357,124,157,2025-11-12_20-01-19,46
900,-1840,-241,3220,-108,94,2025-11-12_20-01-19,47
896,-1955,-389,-1508,834,-190,2025-11-12_20-01-19,48
1113,-1812,-3,-495,-444,230,2025-11-12_20-01-19,49
860,-1713,-796,3360,123,419,2025-11-12_20-01-19,50
857,-1989,-165,-1510,574,-185,2025-11-12_20-01-19,51
624,-1866,-143,-744,572,-65,2025-11-12_20-01-19,52
815,-1628,-746,4082,-160,38,2025-11-12_20-01-19,53
852,-2518,-171,-1495,737,-414,2025-11-12_20-01-19,54
1036,-1973,71,-421,-476,406,2025-11-12_20-01-19,55
773,-1586,310,2089,1180,80,2025-11-12_20-01-19,56
-61,-2530,-89,-911,1544,-264,2025-11-12_20-01-19,57
46,-1893,-75,-662,-215,127,2025-11-12_20-01-19,58
347,-1952,-887,3052,-891,58,2025-11-12_20-01-19,59
579,-1890,-977,4,-247,-471,2025-11-12_20-02-21,0
804,-1863,-41,-267,-295,144,2025-11-12_20-02-21,1
887,-1649,376,2383,418,-237,2025-11-12_20-02-21,2
1024,-2003,58,-1830,476,-351,2025-11-12_20-02-21,3
840,-1851,-282,-410,-252,234,2025-11-12_20-02-21,4
851,-1396,633,2446,96,22,2025-11-12_20-02-21,5
753,-2281,93,-2526,2281,-199,2025-11-12_20-02-21,6
609,-1910,-68,-633,480,65,2025-11-12_20-02-21,7
780,-1476,532,1922,733,316,2025-11-12_20-02-21,8
1051,-2229,-51,-2438,2336,17,2025-11-12_20-02-21,9
719,-1852,-27,-555,209,154,2025-11-12_20-02-21,10
731,-1680,125,2661,360,145,2025-11-12_20-02-21,11
925,-2095,-248,-1725,649,-382,2025-11-12_20-02-21,12
710,-1960,-193,-268,-1019,420,2025-11-12_20-02-21,13
965,-1507,-803,895,2770,1402,2025-11-12_20-02-21,14
485,-1957,-355,-636,498,56,2025-11-12_20-02-21,15
560,-1412,827,297,-118,165,2025-11-12_20-02-21,16
576,-1980,-1023,-1958,3363,70,2025-11-12_20-02-21,17
624,-1894,-155,-599,630,29,2025-11-12_20-02-21,18
593,-1774,-168,3007,112,72,2025-11-12_20-02-21,19
564,-2463,-300,-1283,132,-194,2025-11-12_20-02-21,20
97,-1953,-99,-785,465,155,2025-11-12_20-02-21,21
721,-1941,-467,3635,-230,-7,2025-11-12_20-02-21,22
968,-1967,-280,-1483,796,-14,2025-11-12_20-02-21,23
464,-1896,-62,-828,922,-112,2025-11-12_20-02-21,24
868,-1834,-388,3232,-40,96,2025-11-12_20-02-21,25
714,-1909,2,-1718,961,-92,2025-11-12_20-02-21,26
280,-1869,-345,-845,290,89,2025-11-12_20-02-21,27
556,-1972,-548,3101,245,55,2025-11-12_20-02-21,28
429,-1975,-157,-565,1139,184,2025-11-12_20-02-21,29
803,-1505,524,-998,-266,26,2025-11-12_20-02-21,30
1219,-1856,-397,-2283,2648,102,2025-11-12_20-02-21,31
308,-1998,86,-445,700,68,2025-11-12_20-02-21,32
1176,-1584,-481,2992,773,-11,2025-11-12_20-02-21,33
765,-2041,-112,-1044,336,-91,2025-11-12_20-02-21,34
421,-2435,-1395,-1252,584,141,2025-11-12_20-02-21,35
870,-1779,-943,2415,60,485,2025-11-12_20-02-21,36
766,-1971,-395,-749,61,170,2025-11-12_20-02-21,37
899,-1428,-109,-1144,-971,634,2025-11-12_20-02-21,38
857,-1298,-1302,1466,469,881,2025-11-12_20-02-21,39
542,-1888,57,-600,-58,183,2025-11-12_20-02-21,40
3336,-3105,2074,97,-2001,35,2025-11-12_20-02-21,41
901,-1493,-881,869,1498,572,2025-11-12_20-02-21,42
598,-1881,-222,-610,-168,150,2025-11-12_20-02-21,43
2215,-2390,2050,3,-1608,-244,2025-11-12_20-02-21,44
705,-1946,-670,2332,632,360,2025-11-12_20-02-21,45
432,-1953,-237,-717,944,248,2025-11-12_20-02-21,46
436,-1632,653,845,1352,-257,2025-11-12_20-02-21,47
1106,-1864,277,-2417,1789,47,2025-11-12_20-02-21,48
621,-1961,-328,-623,-231,338,2025-11-12_20-02-21,49
1070,-1732,247,3065,960,-107,2025-11-12_20-02-21,50
1153,-2228,509,-2933,1552,-143,2025-11-12_20-02-21,51
669,-1865,17,-556,138,183,2025-11-12_20-02-21,52
513,-1479,707,1109,-318,371,2025-11-12_20-02-21,53
714,-1907,-1648,-370,1226,340,2025-11-12_20-02-21,54
483,-1931,-125,-510,188,149,2025-11-12_20-02-21,55
1120,-2743,1371,-489,-959,-252,2025-11-12_20-02-21,56
538,-1907,-26,-401,338,166,2025-11-12_20-03-22,0
909,-1742,340,2573,1668,-248,2025-11-12_20-03-22,1
709,-1947,-448,-1437,1091,-97,2025-11-12_20-03-22,2
275,-2007,-380,-1085,737,129,2025-11-12_20-03-22,3
842,-1383,-980,1432,1441,1363,2025-11-12_20-03-22,4
595,-1880,-131,-846,652,100,2025-11-12_20-03-22,5
1586,-1520,-926,-1305,51,1334,2025-11-12_20-03-22,6
351,-1816,-1448,1990,-450,-175,2025-11-12_20-03-22,7
728,-1846,-134,-490,-233,170,2025-11-12_20-03-22,8
108,-1339,-21,-2104,-714,370,2025-11-12_20-03-22,9
645,-1308,-1335,2105,106,752,2025-11-12_20-03-22,10
380,-1995,21,-1031,348,36,2025-11-12_20-03-22,11
368,-2049,-250,-1064,1547,-172,2025-11-12_20-03-22,12
696,-1727,-654,3571,-687,47,2025-11-12_20-03-22,13
1140,-2312,823,-2162,479,-318,2025-11-12_20-03-22,14
656,-1913,2,-587,262,120,2025-11-12_20-03-22,15
441,-1349,1077,582,-332,392,2025-11-12_20-03-22,16
1075,-1963,-1111,-730,579,340,2025-11-12_20-03-22,17
580,-1857,362,-523,1227,142,2025-11-12_20-03-22,18
691,-1433,632,1193,983,-93,2025-11-12_20-03-22,19
896,-1973,252,-1774,674,-261,2025-11-12_20-03-22,20
872,-1860,-98,-466,26,180,2025-11-12_20-03-22,21
711,-1150,1074,1549,-652,370,2025-11-12_20-03-22,22
587,-2276,-1040,-1252,3089,19,2025-11-12_20-03-22,23
466,-1977,-156,-596,255,177,2025-11-12_20-03-22,24
602,-1586,126,-983,-1312,326,2025-11-12_20-03-22,25
