ax,ay,az,gx,gy,gz,session,reading_index
574,-1737,815,-28,216,-13,2025-10-24_13-21-00,0
605,-1744,758,9,213,-22,2025-10-24_13-21-00,1
505,-1728,811,6,58,-68,2025-10-24_13-21-00,2
439,-1761,918,-167,35,-38,2025-10-24_13-21-00,3
471,-1759,840,10,93,-74,2025-10-24_13-21-00,4
533,-1728,873,-31,180,-29,2025-10-24_13-21-00,5
612,-1755,762,-24,208,-35,2025-10-24_13-21-00,6
505,-1713,890,-28,243,1,2025-10-24_13-21-00,7
509,-1735,859,-19,218,-22,2025-10-24_13-21-00,8
536,-1728,841,-17,195,-30,2025-10-24_13-21-00,9
506,-1734,855,-19,204,-23,2025-10-24_13-21-00,10
508,-1741,849,-18,213,-19,2025-10-24_13-21-00,11
457,-1761,819,-41,93,-38,2025-10-24_13-21-00,12
409,-1749,873,3,160,-32,2025-10-24_13-21-00,13
485,-1742,857,-12,202,-22,2025-10-24_13-21-00,14
532,-1729,846,-45,251,4,2025-10-24_13-21-00,15
478,-1751,875,-22,225,-16,2025-10-24_13-21-00,16
507,-1732,860,-20,219,-10,2025-10-24_13-21-00,17
504,-1737,856,-20,210,-21,2025-10-24_13-21-00,18
496,-1752,858,-19,209,-20,2025-10-24_13-21-00,19
492,-1732,844,-20,217,-19,2025-10-24_13-21-00,20
397,-1805,827,11,131,-88,2025-10-24_13-21-00,21
648,-1959,165,-185,353,52,2025-10-24_13-21-00,22
32,-2068,-502,282,-1393,-8,2025-10-24_13-21-00,23
337,-2000,-137,-265,679,-271,2025-10-24_13-21-00,24
649,-1786,249,-342,2758,-130,2025-10-24_13-21-00,25
458,-1972,-79,-402,978,-248,2025-10-24_13-21-00,26
992,-1855,413,-168,-634,147,2025-10-24_13-21-00,27
941,-1900,-128,-612,672,-154,2025-10-24_13-21-00,28
892,-1762,463,25,442,7,2025-10-24_13-21-00,29
838,-1743,579,-22,162,-29,2025-10-24_13-21-00,30
805,-1730,647,-1,286,-20,2025-10-24_13-21-00,31
934,-1632,247,-240,162,-344,2025-10-24_13-21-00,32
228,-1596,-1158,-963,1310,-368,2025-10-24_13-21-00,33
463,-1932,216,-1093,-266,-100,2025-10-24_13-21-00,34
591,-2176,67,-615,356,251,2025-10-24_13-21-00,35
166,-1400,60,-603,-1774,289,2025-10-24_13-21-00,36
1059,-1526,-740,3051,-520,1509,2025-10-24_13-21-00,37
1504,-2977,466,-3288,1002,309,2025-10-24_13-21-00,38
486,-1882,-74,-737,197,13,2025-10-24_13-21-00,39
786,-2356,-6,-538,-1141,53,2025-10-24_13-21-00,40
1028,-1635,178,-447,1749,-522,2025-10-24_13-21-00,41
373,-1934,-143,-620,410,72,2025-10-24_13-21-00,42
1268,-2066,-427,-700,-1948,568,2025-10-24_13-21-00,43
904,-1353,-969,2259,-678,1184,2025-10-24_13-21-00,44
538,-1942,-242,-1522,52,-39,2025-10-24_13-21-00,45
500,-1956,176,-838,509,32,2025-10-24_13-21-00,46
354,-1209,36,-266,-1839,297,2025-10-24_13-21-00,47
1109,-1351,-786,2135,-40,1706,2025-10-24_13-21-00,48
506,-2092,-242,-1189,592,-98,2025-10-24_13-21-00,49
288,-2079,-275,-1152,658,261,2025-10-24_13-21-00,50
601,-1499,-183,2271,-534,33,2025-10-24_13-21-00,51
643,-1371,-1009,644,2524,574,2025-10-24_13-21-00,52
464,-1995,-22,-1179,228,-71,2025-10-24_13-21-00,53
651,-1884,187,-120,650,354,2025-10-24_13-21-00,54
808,-1898,-585,1605,-2336,90,2025-10-24_13-21-00,55
509,-1972,-112,-746,285,4,2025-10-24_13-21-00,56
-95,-2681,-790,-1105,-40,362,2025-10-24_13-21-00,57
963,-1775,-654,3594,-469,518,2025-10-24_13-21-00,58
1156,-3186,-262,-3001,897,229,2025-10-24_13-21-00,59
582,-1740,805,-32,210,-18,2025-10-24_13-24-00,0
595,-1749,768,12,208,-25,2025-10-24_13-24-00,1
512,-1733,801,2,65,-72,2025-10-24_13-24-00,2
445,-1768,908,-170,42,-40,2025-10-24_13-24-00,3
478,-1762,830,5,99,-78,2025-10-24_13-24-00,4
540,-1731,863,-35,177,-31,2025-10-24_13-24-00,5
609,-1760,772,-28,212,-39,2025-10-24_13-24-00,6
511,-1719,880,-30,238,-5,2025-10-24_13-24-00,7
515,-1740,849,-22,220,-25,2025-10-24_13-24-00,8
540,-1731,831,-20,199,-33,2025-10-24_13-24-00,9
510,-1738,845,-21,200,-26,2025-10-24_13-24-00,10
512,-1745,839,-20,209,-21,2025-10-24_13-24-00,11
460,-1766,809,-45,90,-41,2025-10-24_13-24-00,12
415,-1752,863,-2,155,-35,2025-10-24_13-24-00,13
490,-1748,847,-15,199,-25,2025-10-24_13-24-00,14
538,-1731,836,-48,245,-2,2025-10-24_13-24-00,15
480,-1755,865,-25,220,-19,2025-10-24_13-24-00,16
511,-1736,850,-23,215,-14,2025-10-24_13-24-00,17
508,-1740,846,-22,205,-23,2025-10-24_13-24-00,18
500,-1755,848,-21,206,-22,2025-10-24_13-24-00,19
495,-1735,834,-23,212,-20,2025-10-24_13-24-00,20
400,-1810,817,8,125,-90,2025-10-24_13-24-00,21
655,-1965,155,-190,340,48,2025-10-24_13-24-00,22
40,-2072,-490,270,-1380,-12,2025-10-24_13-24-00,23
345,-2010,-145,-270,685,-280,2025-10-24_13-24-00,24
655,-1790,255,-350,2740,-135,2025-10-24_13-24-00,25
460,-1975,-85,-410,980,-250,2025-10-24_13-24-00,26
980,-1860,400,-170,-640,150,2025-10-24_13-24-00,27
930,-1910,-135,-620,675,-160,2025-10-24_13-24-00,28
880,-1770,450,20,435,-2,2025-10-24_13-24-00,29
842,-1750,585,-25,170,-30,2025-10-24_13-24-00,30
810,-1735,650,-5,280,-22,2025-10-24_13-24-00,31
940,-1640,250,-245,158,-350,2025-10-24_13-24-00,32
235,-1600,-1140,-970,1300,-370,2025-10-24_13-24-00,33
470,-1940,220,-1080,-270,-105,2025-10-24_13-24-00,34
