ax,ay,az,gx,gy,gz,session,reading_index
879,-1804,188,-234,-50,42,2025-11-13_00-12-26,0
884,-1639,92,505,362,204,2025-11-13_00-12-26,1
1244,-1642,-331,-341,958,-20,2025-11-13_00-12-26,2
757,-1899,56,-176,-340,132,2025-11-13_00-12-26,3
1031,-1738,56,1022,498,26,2025-11-13_00-12-26,4
710,-2133,-374,-502,487,-202,2025-11-13_00-12-26,5
779,-1987,-310,-609,352,104,2025-11-13_00-12-26,6
1147,-1660,-224,400,318,48,2025-11-13_00-12-26,7
971,-1800,-109,-295,81,60,2025-11-13_00-12-26,8
931,-1693,373,-348,1433,20,2025-11-13_00-12-26,9
696,-1939,-331,-604,1015,-196,2025-11-13_00-12-26,10
784,-1858,-111,-782,316,163,2025-11-13_00-12-26,11
1140,-1745,36,1059,1077,-122,2025-11-13_00-12-26,12
987,-1778,-219,-461,308,-100,2025-11-13_00-12-26,13
922,-1600,148,425,-613,314,2025-11-13_00-12-26,14
1047,-1703,-408,-12,82,-103,2025-11-13_00-12-26,15
498,-2000,-74,-377,-511,278,2025-11-13_00-12-26,16
1035,-1783,-257,921,479,5,2025-11-13_00-12-26,17
882,-1774,350,-243,342,-34,2025-11-13_00-12-26,18
1049,-1741,165,727,19,90,2025-11-13_00-12-26,19
821,-1846,-135,-203,215,-70,2025-11-13_00-12-26,20
1095,-1662,-26,855,212,122,2025-11-13_00-12-26,21
976,-1769,-232,-280,90,-164,2025-11-13_00-12-26,22
956,-1565,213,178,-177,99,2025-11-13_00-12-26,23
1135,-1667,-150,-620,335,-243,2025-11-13_00-12-26,24
992,-1754,181,-678,827,83,2025-11-13_00-12-26,25
1084,-1714,-96,657,930,70,2025-11-13_00-12-26,26
889,-1784,-55,-409,479,-66,2025-11-13_00-12-26,27
1144,-1547,154,14,1926,97,2025-11-13_00-12-26,28
1025,-1806,-313,-803,931,-174,2025-11-13_00-12-26,29
1633,-1700,328,-350,-944,11,2025-11-13_00-12-26,30
1055,-1795,-33,-86,1118,-47,2025-11-13_00-12-26,31
921,-1758,57,-314,230,-72,2025-11-13_00-12-26,32
930,-1670,-43,-74,-27,141,2025-11-13_00-12-26,33
999,-1604,9,30,666,-188,2025-11-13_00-12-26,34
965,-1709,-67,-189,-555,54,2025-11-13_00-12-26,35
820,-1807,-58,1086,-422,173,2025-11-13_00-12-26,36
731,-1991,-248,-440,311,-102,2025-11-13_00-12-26,37
