ax,ay,az,gx,gy,gz,session,reading_index
327,-1984,-239,-440,-1027,36,2025-11-12_19-43-52,0
1025,-1861,-198,-856,816,-231,2025-11-12_19-43-52,1
-28,-1817,205,1022,-1269,-433,2025-11-12_19-43-52,2
328,-2036,-353,1819,-1758,-363,2025-11-12_19-43-52,3
218,-2493,228,-1009,44,-12,2025-11-12_19-43-52,4
396,-2031,-216,-478,-389,-96,2025-11-12_19-43-52,5
-303,-1934,455,-863,2045,-563,2025-11-12_19-43-52,6
5,-2021,-312,2731,323,-108,2025-11-12_19-43-52,7
-591,-2405,647,-1768,-380,166,2025-11-12_19-43-52,8
263,-1901,-28,-603,-287,-123,2025-11-12_19-43-52,9
760,-2197,-862,-915,-920,-208,2025-11-12_19-43-52,10
159,-1992,7,2869,518,-353,2025-11-12_19-43-52,11
-392,-1970,-649,-277,888,89,2025-11-12_19-43-52,12
344,-2021,-229,-652,-111,-92,2025-11-12_19-43-52,13
-582,-2255,-222,-304,-1974,-104,2025-11-12_19-43-52,14
-82,-1904,164,2433,1000,-113,2025-11-12_19-43-52,15
1260,-1920,-794,-399,-769,676,2025-11-12_19-43-52,16
369,-1958,-123,-186,514,-109,2025-11-12_19-43-52,17
119,-2008,-392,1945,1430,-6,2025-11-12_19-43-52,18
-9,-2249,362,-1127,-425,215,2025-11-12_19-43-52,19
284,-1972,-171,-450,-278,-104,2025-11-12_19-43-52,20
-137,-1356,-327,-1210,1717,-522,2025-11-12_19-43-52,21
411,-2065,-248,2258,-359,-521,2025-11-12_19-43-52,22
349,-1995,-166,-870,-613,87,2025-11-12_19-43-52,23
412,-1992,-200,-829,199,-235,2025-11-12_19-43-52,24
8,-1697,116,-43,593,-412,2025-11-12_19-43-52,25
596,-1886,-707,2075,-264,-191,2025-11-12_19-43-52,26
218,-2077,-167,-786,-438,62,2025-11-12_19-43-52,27
41,-2083,-205,-386,-1691,-117,2025-11-12_19-43-52,28
87,-1981,15,2771,712,-205,2025-11-12_19-43-52,29
-234,-2556,-90,-1533,-1322,318,2025-11-12_19-43-52,30
133,-2037,-34,-445,611,-127,2025-11-12_19-43-52,31
339,-1851,-23,1734,1537,-659,2025-11-12_19-43-52,32
121,-2430,-276,-1300,-64,603,2025-11-12_19-43-52,33
-406,-2198,-218,-523,471,-115,2025-11-12_19-43-52,34
296,-1933,-211,2179,1020,-364,2025-11-12_19-43-52,35
-158,-2422,-57,-686,-462,427,2025-11-12_19-43-52,36
339,-1977,-132,-772,292,-240,2025-11-12_19-43-52,37
61,-2023,-196,1798,-412,-129,2025-11-12_19-43-52,38
448,-2026,-462,-840,-915,70,2025-11-12_19-43-52,39
517,-2041,-307,-1071,955,-305,2025-11-12_19-43-52,40
79,-1940,-167,1473,686,-523,2025-11-12_19-43-52,41
697,-1761,-892,-774,597,354,2025-11-12_19-43-52,42
362,-1971,-248,-593,-41,-20,2025-11-12_19-43-52,43
-371,-1930,-1289,-3218,3138,-388,2025-11-12_19-43-52,44
186,-1972,-348,2418,114,-331,2025-11-12_19-43-52,45
-63,-2773,521,-1581,-142,-8,2025-11-12_19-43-52,46
232,-2002,115,-660,-110,-169,2025-11-12_19-43-52,47
446,-1599,-414,-1173,3302,-543,2025-11-12_19-43-52,48
733,-1946,-501,1818,1299,1144,2025-11-12_19-43-52,49
867,-1799,-694,-1355,2034,-378,2025-11-12_19-43-52,50
153,-1923,94,2268,1149,-322,2025-11-12_19-43-52,51
1245,-2096,-787,-424,-138,566,2025-11-12_19-43-52,52
234,-1939,-197,-516,74,-162,2025-11-12_19-43-52,53
-452,-1679,-18,-2069,1837,-656,2025-11-12_19-43-52,54
156,-1932,-556,2897,227,-258,2025-11-12_19-43-52,55
1165,-2212,-645,-574,-853,487,2025-11-12_19-43-52,56
471,-1902,-95,-693,103,-185,2025-11-12_19-43-52,57
-324,-2536,-467,-633,-1248,-376,2025-11-12_19-43-52,58
128,-1814,150,1429,1272,-529,2025-11-12_19-43-52,59
249,-2029,-178,-484,272,-107,2025-11-12_19-44-55,0
252,-1943,-187,1725,1551,-650,2025-11-12_19-44-55,1
1103,-1808,-1003,-639,-119,541,2025-11-12_19-44-55,2
660,-1890,-102,-418,-846,-125,2025-11-12_19-44-55,3
383,-2233,-789,-1172,-268,-274,2025-11-12_19-44-55,4
88,-1925,-98,3001,879,-250,2025-11-12_19-44-55,5
-75,-1920,-302,298,624,301,2025-11-12_19-44-55,6
150,-2132,-269,-981,-369,-1,2025-11-12_19-44-55,7
354,-2211,-280,-785,219,-266,2025-11-12_19-44-55,8
225,-1430,-454,-818,1765,-653,2025-11-12_19-44-55,9
316,-2017,-437,2717,-174,-255,2025-11-12_19-44-55,10
-412,-2382,-124,-1509,-659,91,2025-11-12_19-44-55,11
331,-1975,-106,-518,-190,-120,2025-11-12_19-44-55,12
-53,-3087,535,-1955,2507,-605,2025-11-12_19-44-55,13
921,-2006,-540,579,2730,442,2025-11-12_19-44-55,14
-508,-2091,-167,-678,-337,-249,2025-11-12_19-44-55,15
28,-2114,-243,2861,506,-179,2025-11-12_19-44-55,16
471,-2527,-346,-651,-1286,514,2025-11-12_19-44-55,17
334,-1956,-172,-723,73,-183,2025-11-12_19-44-55,18
-79,-2094,-643,-1539,-25,-709,2025-11-12_19-44-55,19
-162,-1830,17,1889,172,-340,2025-11-12_19-44-55,20
276,-1910,-556,2341,-968,-364,2025-11-12_19-44-55,21
279,-2032,-129,-1390,-704,116,2025-11-12_19-44-55,22
132,-2011,-29,-624,-303,-47,2025-11-12_19-44-55,23
-688,-3430,583,-693,2236,-847,2025-11-12_19-44-55,24
236,-1968,-428,2942,175,-470,2025-11-12_19-44-55,25
-166,-2330,-18,-1293,-1087,599,2025-11-12_19-44-55,26
-24,-2060,-281,-541,322,-26,2025-11-12_19-44-55,27
426,-1609,175,-386,2310,-701,2025-11-12_19-44-55,28
378,-1909,-233,1575,-673,479,2025-11-12_19-44-55,29
263,-1970,-195,-523,438,-124,2025-11-12_19-44-55,30
40,-2840,343,-2240,3363,-421,2025-11-12_19-44-55,31
-255,-2113,-354,2097,-1033,-327,2025-11-12_19-44-55,32
-667,-2342,396,-1638,-944,80,2025-11-12_19-44-55,33
368,-1924,-200,-626,-182,-155,2025-11-12_19-44-55,34
458,-1810,-898,-1360,-352,-606,2025-11-12_19-44-55,35
-119,-1710,280,1639,1248,-78,2025-11-12_19-44-55,36
355,-2046,-220,2207,-1142,-224,2025-11-12_19-44-55,37
-401,-3373,923,-1918,-385,-66,2025-11-12_19-44-55,38
365,-1910,-335,-672,-252,-284,2025-11-12_19-44-55,39
-624,-2077,-320,-2448,1591,-861,2025-11-12_19-44-55,40
-22,-2055,-280,2905,1286,-122,2025-11-12_19-44-55,41
1024,-2343,-656,-722,-488,803,2025-11-12_19-44-55,42
55,-2087,-325,-419,1332,-169,2025-11-12_19-44-55,43
-6,-2063,-250,2390,597,-110,2025-11-12_19-44-55,44
