mpu_session,subject_id,knee_side
2025-10-24_13-21-00,user_01,right
2025-10-24_13-24-00,user_01,left
2025-11-01_00-47-30,user_02,right
2025-11-01_01-00-54,user_02,left
2025-11-03_13-55-03,user_03,right
2025-11-03_14-06-05,user_03,left
2025-11-03_14-42-40,user_04,right
2025-11-03_15-25-08,user_05,right
2025-11-03_18-58-54,user_05,left
2025-11-03_18-59-58,user_06,left
2025-11-03_19-01-00,user_06,right
2025-11-08_13-48-18,user_07,left
2025-11-08_13-52-18,user_08,left
2025-11-08_13-53-21,user_09,left
2025-11-08_13-54-22,user_10,left
2025-11-08_14-08-58,user_07,right
2025-11-08_14-10-01,user_08,right
2025-11-08_14-11-03,user_09,right
2025-11-08_14-12-02,user_10,right
2025-11-08_14-13-03,user_11,right
2025-11-08_18-00-58,user_11,left
2025-11-08_18-02-01,user_12,left
2025-11-08_18-03-01,user_13,left
2025-11-08_18-04-03,user_12,right
2025-11-08_18-05-05,user_13,right
2025-11-12_19-25-37,user_14,right
2025-11-12_19-26-39,user_15,right
2025-11-12_19-27-40,user_16,right
2025-11-12_19-32-34,user_14,left
2025-11-12_19-33-37,user_15,left
2025-11-12_19-34-38,user_16,left
2025-11-12_19-43-52,user_17,left
2025-11-12_19-44-55,user_18,left
2025-11-12_19-45-55,user_19,left
2025-11-12_19-46-56,user_20,left
2025-11-12_19-47-58,user_21,left
2025-11-12_20-01-19,user_22,right
2025-11-12_20-02-21,user_23,right
2025-11-12_20-03-22,user_24,right
2025-11-12_20-04-23,user_25,right
2025-11-12_20-05-24,user_26,right
2025-11-12_20-06-30,user_17,right
2025-11-12_20-07-30,user_18,right
2025-11-12_20-08-30,user_19,right
2025-11-12_20-09-30,user_20,right
2025-11-12_20-10-30,user_21,right
2025-11-13_00-07-20,user_31,right
2025-11-13_00-08-23,user_32,right
2025-11-13_00-09-24,user_33,right
2025-11-13_00-10-25,user_34,right
2025-11-13_00-11-25,user_35,right
2025-11-13_00-12-26,user_36,left   
2025-11-13_00-13-27,user_37,left
2025-11-13_00-14-27,user_38,left
2025-11-13_00-15-28,user_39,left
2025-11-13_00-16-29,user_40,left
2025-11-13_00-17-29,user_31,left
2025-11-13_00-18-30,user_32,left
2025-11-15_11-47-03,user_41,left
2025-11-15_11-48-03,user_42,left
2025-11-15_11-49-04,user_43,left
2025-11-15_11-50-05,user_44,left
2025-11-15_11-53-06,user_45,left
2025-11-15_11-54-09,user_45,left
2025-11-15_14-53-25,user_46,right
2025-11-15_14-54-27,user_47,right
2025-11-15_14-55-28,user_48,right
2025-11-15_14-56-29,user_49,right
2025-11-15_15-12-29,user_41,right
2025-11-15_15-13-30,user_42,right
2025-11-15_15-15-36,user_50,right
2025-11-15_15-16-31,user_51,right
2025-11-15_15-17-32,user_52,right
2025-11-15_15-18-33,user_53,right
2025-11-15_22-12-04,user_54,right
2025-11-15_22-13-07,user_55,right
2025-11-15_22-14-07,user_56,right
2025-11-15_22-16-05,user_57,right
2025-11-15_22-17-08,user_58,right  
2025-11-15_22-18-11,user_59,right
2025-11-15_22-20-16,user_60,right
2025-11-15_22-21-14,user_61,right
2025-11-15_22-22-11,user_62,right
2025-11-15_23-02-50,user_27,right
2025-11-15_23-03-53,user_28,right
2025-11-15_23-04-54,user_29,right
2025-11-15_23-05-55,user_30,right
2025-11-15_23-06-55,user_58,right
2025-11-15_23-10-55,user_36,left
2025-11-15_23-11-58,user_37,left
2025-11-15_23-12-59,user_38,left
2025-11-15_23-13-59,user_39,left
2025-11-15_23-15-00,user_40,left
2025-11-15_23-16-00,user_54,right
2025-11-15_23-17-01,user_39,left
2025-11-15_23-18-02,user_59,right
