T,P,reading_index
29.44,909.39,0
29.41,909.27,1
29.42,909.25,2
29.41,909.28,3
29.41,909.24,4
29.42,909.29,5
29.41,909.32,6
29.43,909.29,7
29.43,909.29,8
29.43,909.28,9
29.42,909.14,10
29.44,909.14,11
29.43,909.16,12
29.44,909.06,13
29.45,909.18,14
29.45,909.05,15
29.45,908.96,16
29.46,908.99,17
29.47,908.95,18
29.47,908.89,19
29.48,908.94,20
29.47,908.88,21
29.48,908.82,22
29.47,908.75,23
29.48,908.78,24
29.49,908.8,25
29.5,908.73,26
29.49,908.68,27
29.5,908.69,28
29.5,908.65,29
29.5,908.57,30
29.51,908.61,31
29.52,908.65,32
29.51,908.8,33
29.51,908.72,34
29.52,908.64,35
29.51,908.57,36
29.5,908.56,37
29.51,908.66,38
29.51,908.58,39
29.52,908.62,40
29.53,908.7,41
29.51,908.66,42
29.5,908.62,43
29.51,908.65,44
29.51,908.66,45
29.52,908.69,46
29.52,908.67,47
29.52,908.66,48
29.54,908.72,49
29.53,908.67,50
29.55,908.75,51
29.54,908.7,52
29.55,908.68,53
29.55,908.66,54
29.57,908.69,55
30.6,912.4,56
30.6,912.4,57
