ax,ay,az,gx,gy,gz,reading_index
772,-1860,-120,-22,190,-48,0
657,-1917,-179,-136,604,21,1
532,-1935,-142,-91,350,53,2
965,-1679,-197,357,-1214,-139,3
654,-1894,-184,47,200,-70,4
690,-1887,-153,-22,236,-16,5
736,-1897,-140,-26,281,3,6
670,-1904,-109,9,109,-13,7
719,-1867,-133,-46,197,-46,8
699,-1899,-162,13,167,-11,9
694,-1882,-165,-11,218,-14,10
674,-1918,-160,-19,151,-21,11
704,-1896,-155,-33,235,-30,12
723,-1879,-207,-54,235,-34,13
735,-1887,-342,-51,140,-6,14
717,-1881,-311,-30,346,0,15
649,-1898,-87,20,196,-21,16
665,-1909,-131,-36,228,-31,17
678,-1900,-149,-11,209,-17,18
648,-1916,-130,42,136,31,19
701,-1905,-163,-24,232,-22,20
705,-1903,-170,-10,240,-13,21
704,-1890,-159,-19,211,-16,22
706,-1889,-121,-48,215,-35,23
703,-1890,-175,-30,205,-30,24
710,-1889,-182,-17,202,-21,25
735,-1890,-201,-20,215,-17,26
728,-1885,-200,-2,191,-29,27
751,-1873,-196,1,221,-6,28
693,-1895,-128,-4,189,-13,29
717,-1888,-148,-11,207,-24,30
713,-1884,-143,-14,208,-20,31
720,-1889,-154,-38,223,-16,32
703,-1891,-151,-20,199,-26,33
710,-1891,-176,-17,216,-23,34
699,-1890,-156,-11,227,-12,35
693,-1899,-123,-9,183,-21,36
724,-1880,-186,10,205,-10,37
669,-1903,-82,-16,207,-15,38
706,-1895,-149,-37,312,-11,39
708,-1887,-144,-45,205,-36,40
744,-1875,-206,-35,198,-27,41
744,-1871,-210,-13,221,-15,42
719,-1882,-169,-40,190,-3,43
683,-1894,-189,-17,224,-27,44
738,-1887,-228,-46,217,-30,45
764,-1889,-76,-1,428,-37,46
731,-1847,-21,8,248,-22,47
713,-1849,3,34,163,33,48
754,-1896,-31,75,32,-1,49
528,-1918,140,-54,288,-57,50
1214,-1796,82,-829,89,-38,51
360,-1962,-44,-172,521,10,52
732,-1881,-89,37,115,-64,53
693,-1891,-144,-8,295,-23,54
677,-1910,-98,-15,194,-10,55
